File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9
o4_gr_e10,A,0,0.032667964108316,0.06871644309880817,0.321354005102041,0.018841582766439956,0.03627100755025001,0.08310302353395067,0.04799929360000006,0.039265166755555594,0.05981395209984823
o4_gr_e11,A,0,0.036443729678638945,0.052038771887453227,0.21278050812499993,0.018267656219004155,0.03988736786703601,0.10829585205400745,0.045207426875000005,0.05843827778714793,0.0927226917273673
o4_gr_e12,A,0,0.03212917593334405,0.06652117440649734,0.3051637640306123,0.018230655324511694,0.039295601516523344,0.09373536071005921,0.041311495963091166,0.04305045730027554,0.0673748388165681
o5-01_gr_e01,B,1,0.306557183125,0.425050171875,1,0.0280886934765625,0.047849007739334024,0.10017794375338018,0.8613386328125,0.37586611102994905,1
o5-01_gr_e02,B,1,0.49569262759924376,0.38244531772268137,1,0.03171118851081704,0.04165481481481478,0.08152814428710936,1,0.3135272466197944,1
o5-01_gr_e03,B,1,1,0.4954936172839506,1,0.02933704823701019,0.042569303035076646,0.08162906703397607,1,0.3146701806381827,1
o5-04_gr_e04,D,3,0.040123761164456664,0.08498192393194708,1,0.022626817384952546,0.07684302896460549,1,0.05187245037037042,0.13928094455616208,1
o5-04_gr_e05,D,3,0.025988046725464457,0.08945146931850316,1,0.02021002179783953,0.06548833548303323,1,0.05726915264650286,0.09588500548696849,1
o5-04_gr_e06,D,3,0.02666505625000002,0.11894726434005555,1,0.023267369598765457,0.07725273722908092,1,0.05981476987654324,0.10763750857234423,1
o5-07_gr_e07,B,1,0.11063464916251692,0.15508188578227244,0.2555866803840878,0.025467428459937547,0.050799033064206044,0.06356230334486736,0.10657005198487712,0.12013782864197527,0.12779435395597855
o5-07_gr_e08,B,1,0.14311619990548205,0.1479636285444234,0.15305798913535532,0.031082945123966928,0.04331207887517145,0.05221727055150882,0.06490781462585034,0.08453810999999999,0.07919959765624997
o5-07_gr_e09,B,1,0.14339076812499996,0.17011375805391188,0.24358827705112954,0.03247469489644966,0.05176599500192232,0.05798104671280271,0.1162263898750822,0.11009076690102756,0.1126597665406427
o5-10_gr_e10,A,0,0.08249729552549427,0.12258776,0.12059816649323621,0.026579338125,0.05168215631848063,0.07406854938775508,0.051100033179012336,0.08608928806584364,0.09008368846611177
o5-10_gr_e11,A,0,0.049775058864265864,0.11004267836734691,0.23387964940828404,0.023255688124999944,0.04775780989583328,0.08128789087880048,0.040094253772290714,0.04298292382812492,0.05964536408163256
o5-10_gr_e12,A,0,0.049842189750692587,0.10999122160664826,0.24561966326530618,0.02411437343852734,0.049456529079861165,0.08311121523668641,0.039171673008323506,0.04264091319857321,0.050764517045454614
o5_gr_e01,B,1,0.19610682530612236,0.2589528486159169,0.23858969367283947,0.026526747037037012,0.03851523946005915,0.051324214399999964,0.14120422906292437,0.16177793347050756,0.15218843777777777
o5_gr_e02,B,1,0.22487482726326743,0.33106588109393575,0.2027330737240076,0.027211556473517418,0.047655658703512384,0.051974204081632655,0.132033586,0.16793961476355246,0.12725979452054792
o5_gr_e03,B,1,0.1593517195290858,0.31910299479166665,0.2044542023374726,0.02294925640240791,0.043441356792355355,0.05039436932528112,0.2515836153846154,0.2139982059259259,0.16682126400459632
o5_gr_e04,B,1,0.1000536238842721,0.21897199456790123,1,0.025123961183819175,0.04194527238095239,0.05695216379092671,0.08732236141865267,0.20753762913580254,1
o5_gr_e05,B,1,0.0705770143613001,0.18973995557655965,0.7638211022222224,0.021969021234567922,0.04451610006247401,0.061394759255962994,0.12297229491124258,0.5644134775086507,0.569744388888889
o5_gr_e06,B,1,0.07987485467455621,0.2299554075963718,1,0.02374372730715817,0.042972036033057846,0.059858073223140476,0.13109801723607264,0.36343317769376177,0.3071024896449703
o5_gr_e07,C,2,0.13631495703125,0.08649368734693878,0.07063180932784635,0.027264947599999985,0.053766726800554034,0.07808095678670356,0.05931019649227112,0.4804959988888888,1
o5_gr_e08,B,1,0.11857907421875,0.16588526188016525,0.17293786419194207,0.024248201424948684,0.04659727983539095,0.054490030183866514,0.13783880989676037,0.2052267086419753,0.14985857388137355
o5_gr_e09,B,1,0.10305301654064275,0.13677043621399176,0.18097017901234566,0.03066168718086538,0.04321185697808537,0.0683340361983471,0.09378305574845677,0.16493095540438396,0.29809075069252067
o5_gr_e10,B,1,0.08298199815327799,0.2102783356250001,0.3919159426020408,0.022914213229690623,0.04370108975426908,0.05597640856186227,0.06804209607372809,0.14936376089695141,0.340162614744352
o5_gr_e11,B,1,0.09261653888888892,0.2557159677843525,0.7097899648437499,0.02551486311418687,0.047904756500000006,0.0627120719200679,0.06389843521313852,0.12703296388408308,0.2500133100000001
o5_gr_e12,C,2,0.32932096908442327,0.20985002704164415,0.1432375866666666,0.037482640468749995,0.04490161437908497,0.07008156597222222,0.05060253745267711,0.14960567749999998,1
