File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16
o2-04_gr_e05,D,3,0.013439086616249997,0.0038449093006401457,0.00990379253380102,1,0.002958007018335458,0.0024881918010407084,0.011221572078600002,1,0.0011791900101358866,0.0020531366251114735,0.010428035954876031,1,0.003734122691358023,0.0036673561389605224,0.012386020475907198,1
o2-04_gr_e06,D,3,0.012076517741249997,0.00409472580343404,0.010752455297152365,1,0.002948450393676034,0.0023598302050701664,0.009727423935267855,1,0.0012590182279378136,0.002058012636101499,0.007679837950714289,1,0.007029427894675922,0.004040641354338842,0.006567917450133333,1
o2-07_gr_e07,B,1,0.010040584700826447,0.014468755576470586,0.012790862224000003,0.024202678528000007,0.0018244623357142862,0.0018786266943981618,0.0021230420536940686,0.0022609413684585257,0.0015585057972299166,0.001656799223683199,0.002187403223040001,0.002238501072184897,0.005943511555029585,0.006082891571428572,0.007169084080109741,0.008930564299999999
o2-07_gr_e08,B,1,0.012333398455363324,0.024777809728000005,0.01488406909342561,0.01232619830400001,0.0015491185036280576,0.002100940536167769,0.002281758805860386,0.00199202880078125,0.0018413737843200008,0.002204815772444445,0.0020560159219976224,0.0019497655346189175,0.011529230014814821,0.010417570285714285,0.010316077209917361,0.009548772061111117
o2-07_gr_e09,B,1,0.027185859832098768,0.06826600760000001,0.016202815170370376,0.015141729520987654,0.0024418086115702486,0.0026474436568047345,0.002658281385969085,0.001822913200262985,0.0024957708857142867,0.0020898693483456794,0.0022372700627981495,0.0018988723145299147,0.012867927542857139,0.008754372119008267,0.009532821871074381,0.007502560487039241
o2-10_gr_e10,B,1,0.0036856663279958694,0.0036265838616000006,0.005213287020408165,0.007911361839843752,0.000986377666738755,0.001506767970343393,0.0016858229945215495,0.0017437331507407416,0.00107590355533236,0.0013731102864891524,0.0020625673681061393,0.0014853429877034032,0.003949482747600001,0.004261282904320988,0.005186460099600001,0.008827982130000002
o2-10_gr_e11,A,0,0.0004708689907407412,0.001030105938350341,0.0021069445361328125,0.017612108127551034,0.0006020229768518521,0.0013349571880934994,0.0031572058586559547,0.14022732000000002,0.0005491804504394539,0.001368105296358471,0.003005106384353743,1,0.001070121325833334,0.0018410758269557829,0.003679737483217593,0.031495726890000006
o2-10_gr_e12,B,1,0.0022196511992715914,0.0032287899176575495,0.0049182152303999995,0.015328223074074072,0.000724334483564013,0.0011459499132149896,0.0020946279799804687,0.0018469492089116136,0.00076753088305664,0.0010648898728124994,0.0019892761123662295,0.001926257904269972,0.0020242679344432885,0.003062941116255143,0.004670506532608695,0.006670872722222224
o2_gr_e01,C,2,0.016021888970937495,0.00525240420825699,0.012312868062601456,1,0.0014037530210989613,0.0015133248162658125,0.002694937502837371,0.021501067655916955,0.004461267372746728,0.003041276386784599,0.0021416014005728387,0.003338998384014221,1,0.08019401911500001,0.011168525935,0.005832405954285713
o2_gr_e02,C,2,0.00472929395652778,0.0035394182991883467,0.0032452849056790124,0.0428385396928395,0.001147064881471066,0.001291618378626832,0.0021769608899423303,0.013286546962603554,0.0022433370735537215,0.0026318629142857157,0.003193369919026629,0.0067534784213728405,1,0.1226095422222223,0.011107620911294771,0.009424699079012349
