File,Class_GT,Class_GT_n,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36
o2_gr_e08,B,1,1,1,1,1,1,0.04882645432000001,1,1,1,0.02822941107,0.008686102700214032,0.005546416592013889,0.001917285299999999,0.0027810880540624977,0.004272620450969528,0.004610682746249998,0.005184870076449705,0.0029170884035457055,0.0038857232159556776,0.007384866562268429,0.007995138968055558,0.009452158854444446,0.006671399396747408,0.0041608778298808154,0.3555645564800002,0.05305800976,0.04716427631125,0.022170277794048444,0.015723947168595046,0.009715288828797063,1,1,1,1,1,0.3668837211199999
o2_gr_e09,B,1,1,1,1,1,1,0.04965245936000002,1,1,1,1,0.011628335848888885,0.005372703266559998,0.0019607979999999936,0.00224091012790123,0.004766288486399997,0.004859716865123965,0.005687265328639998,0.0036433641695977205,0.0027752446203124954,0.005475956515481569,0.007856238264447998,0.01001142417927978,0.008808020856406034,0.00426510917490922,1,0.19563706092000005,0.030929850212071005,0.023292079968996536,0.013613459825000004,0.012636329771083674,1,1,1,1,0.41433670096,0.13442490438222224
o2_gr_e10,C,2,0.004606579945103973,0.009991687142160671,0.26228864256,1,1,1,0.0029941241648520724,0.0037085774999000027,0.005639389039373446,0.013922834946492274,0.021658009486400003,0.20991599314000003,0.001539693435392002,0.0021775288684287224,0.003779502072052353,0.004670244096000001,0.005832584945833334,0.008625113107058827,0.0033026648705555607,0.004541986950743806,0.008706109966400007,0.009012565923200006,0.012253247141800004,0.005120262464526628,1,1,1,1,0.044314425842400015,0.025835449965937504,1,1,1,1,1,1
o2_gr_e11,C,2,0.007194763062698963,0.016421018074710747,1,1,1,1,0.003286832895976331,0.003486375758405128,0.010264670572800004,0.016175073888834022,0.035871106736111116,1,0.001559054908264463,0.0019812377849739854,0.003155889611304348,0.006441108098397505,0.007329768409600001,0.007223450553130193,0.002647160600000001,0.0030937184095999994,0.00863130010469136,0.00840026208,0.0126034084585124,0.0045620062409876564,1,1,1,1,0.14404927705777779,0.03403325004333334,1,1,1,1,1,1
o2_gr_e12,C,2,0.046694821420799996,1,1,1,1,1,0.0040950643911506195,0.00833335754507813,0.018226570622493082,0.033651982867222235,0.43751697024000014,0.41947799656,0.0018129082513281256,0.002763706698626285,0.00573177556729767,0.010687386080000002,0.012143244092,0.004941348318572281,0.002853304381666668,0.008406548360000004,0.011983677473600003,0.009583324851800003,0.008154479058432003,0.0030430225962309074,1,1,1,1,1,0.032068847014400007,1,1,1,1,1,1
o3-01_gr_e01,D,3,0.0061457419,0.017420652632098767,0.02778220717890625,0.35424867205000005,1,1,0.0025811954642857124,0.004352518229882811,0.008318537853174605,0.23690755044444453,1,1,0.0015719572175999993,0.0033695955733070338,0.008923461240333237,1,1,1,0.0013650841364999983,0.0024376012404733727,0.006726269575678868,1,1,1,0.0027948290491349474,0.0036152273391111107,0.005333917676783234,1,1,1,0.003948258764285713,0.005360747294736841,0.017564428702422145,1,1,1
o3-01_gr_e02,D,3,0.0061591642388888895,0.023521276100000005,0.024521641186000007,0.06676217518271606,1,1,0.0023516611125000008,0.004135210344135804,0.007961949615789474,0.035066778987543255,1,1,0.0015317351039697547,0.0024264752105263156,0.008845914470507548,0.14243920364800006,1,1,0.0012948210476190487,0.0024707192442460324,0.010857923379834713,1,1,1,0.0026310385932098762,0.0035761537978584194,0.009674919126343006,1,1,1,0.0039914626852071014,0.010873626700826448,0.05376653160277778,1,1,1
o3-01_gr_e03,D,3,0.005116886741735541,0.009906490189473689,0.014982730962500006,0.05566118700246915,1,1,0.0023565731505859407,0.004310196590820317,0.006556217444000004,0.026041610688090754,1,1,0.001519444650413226,0.002717504120523499,0.0051136567918710985,0.11585293510000003,1,1,0.0012409686454861143,0.0027829245489422233,0.00836770804020164,1,1,1,0.0024089708346666724,0.004099583909166669,0.014189390145463145,1,1,1,0.006805628472222231,0.00654349513884298,1,1,1,1
o3-02_gr_e01,D,3,0.0032019807703703718,0.006230257418518521,0.013079568768750003,1,1,1,0.0027658692622837397,0.00418259979375,0.006068380822633137,1,1,1,0.0016109508544217702,0.0025549989507842076,0.005904612798666666,1,1,1,0.0010760421741496601,0.0023435536943413318,0.00657047320498398,0.11744633685000003,1,1,0.002606291957812502,0.0032281213653061235,0.005508525889300413,0.05048048158518518,1,1,0.003044797626666667,0.0036762392820000015,0.005167738021920002,0.02220356867368421,1,1
o3-02_gr_e02,D,3,0.004250873178947369,0.009665143237333335,0.018026525816666673,1,1,1,0.0027515294722117193,0.004442650401646089,0.009224107797923875,1,1,1,0.0016783109206611564,0.0029444030767485814,0.007496211892964245,1,1,1,0.0009569713837429105,0.0024360600526041657,0.005424339047890352,0.0760131841,1,1,0.0027698418306122442,0.003381238347,0.003681511399173554,0.021635790631578944,1,1,0.004677159629629628,0.005923935381818183,0.00570225670176899,0.009439913540250004,1,1
o3-02_gr_e03,D,3,0.002497423966666668,0.009394164535537191,1,1,1,1,0.0010897874460000013,0.003546817738641344,0.4776599772000001,1,1,1,0.0012891122280000022,0.002981272770855119,0.014526068331321541,1,1,1,0.0011265183039697556,0.0024029965790400014,0.0047741288458727155,0.04339539545454546,1,1,0.0023918296190082663,0.005498517312000003,0.003911222312438956,0.010342911323076924,0.2323320285,1,0.0032000945603024604,0.005386086442105263,0.005668155990963139,0.008238696160157792,0.08830656600000002,1
o3-03_gr_e01,D,3,0.001322850602734375,0.004505927902666666,0.012406185309375,0.04240807801388888,1,1,0.0010957275775510204,0.0033548003551984876,0.00704639309423077,0.032197195834375004,1,1,0.0015819597444444436,0.007433933221,0.014725886373611111,0.0316520523515625,1,1,0.0008233479539999982,0.00292178398512,0.008077670102272727,0.021234588275694445,1,1,0.000661400422222222,0.0030946916,0.007534608204536862,0.0230074936,1,1,0.0007386569006920409,0.001961657750530612,0.005105910806060606,0.01170019307210884,1,1
o3-03_gr_e02,D,3,0.0014108560230769215,0.005407011330769228,0.0084811584,0.022371747745454546,1,1,0.0008086584336734667,0.0030258749179584107,0.006640632512799999,0.024407703748999997,1,1,0.0013100613098765395,0.006296173709090906,0.013116236607692306,0.023055788718181817,1,1,0.0008589461833333311,0.003478925092499998,0.007744841218140589,0.01526747041015625,1,1,0.0009113898525510181,0.0036448118869806074,0.008353141987534625,0.015756107414666664,1,1,0.0006263738249999988,0.0020771922101010085,0.005287109001777776,0.013001873937962961,1,1
o3-03_gr_e03,D,3,0.002021206665432094,0.0028897771901234557,0.007118407774515233,0.007610142305350772,0.2563561715,1,0.0007751440683593732,0.002307752617728531,0.005841976488636364,0.01143498604764543,0.06388237659375,1,0.0012858685272727252,0.005517005020312495,0.008516058090222219,0.016392075446153846,0.08401132740000002,1,0.0006434033319999966,0.0021780266003086405,0.0056053900721088415,0.010529278118282548,0.028065907004938273,1,0.0014551512689999961,0.0026517401066406226,0.005651876694749999,0.009353969410499997,0.030060664785937493,1,0.0013725557999999976,0.001451641238666666,0.0038218310414540797,0.007398918039409723,0.02572536809876543,1
o3-03_gr_e04,D,3,0.0020827382965277774,0.0031058439228395067,0.004508102074666666,0.010078088183854165,1,1,0.001656489746153846,0.003279485081640625,0.005267565222770918,0.0150014894046875,1,1,0.002027106033333333,0.0049133545770833325,0.008737878002469135,0.02267018850909091,1,1,0.0009671903090909099,0.002908263054570637,0.006861467882118058,0.02108586966597222,1,1,0.0010039176965277773,0.00292577553125,0.006411860611538464,0.01965229191538461,1,1,0.0007695815769230771,0.0024565602103316327,0.004954740869028488,0.02183522750138889,1,1
